0,absorb,The sales tax is absorbed into the state income tax .,4,1,"[[['Shopping', 'Business', 'Business', 'Shopping', 'Houses and homes', 'Shopping', 'Shopping'], ['Money', 'Shopping']], [['Politics', 'Politics', 'Politics'], ['Money', 'Business'], ['Money', 'Shopping']], ['none'], ['none']]"
1,absorb,The immigrants were quickly absorbed into society .,4,1,"[[['Social issues']], [['People in society']], ['quickly'], ['none']]"
2,absorb,Her interest in butterflies absorbs her completely .,4,1,"[[['Feelings', 'Hobbies', 'Money', 'Success', 'Crime and punishment'], ['Insects, worms, etc.', 'Sports: water sports']], [['Language', 'Language']], ['completely'], ['none']]"
3,abuse,This boss abuses his workers .,2,0,"[[['People in society', 'Working life', 'Jobs', 'Business', 'People in society', 'Jobs', 'Business']], [['Working life']], ['none'], ['none']]"
4,abuse,Do n't abuse the system .,2,1,"[[], [['Computers']], ['none'], ['none']]"
5,abuse,The actress abused the policeman who gave her a parking ticket .,2,0,"[[['Film and theatre', 'Jobs']], [['Law and justice', 'Jobs'], ['Transport by car or lorry', 'Transport by car or lorry'], ['Transport by bus and train', 'Transport by air', 'Politics']], ['none'], ['none']]"
6,abuse,Her husband often abuses alcohol .,3,1,"[[['Family and relationships']], [['Social issues', 'Drinks', 'Social issues', 'Physics and chemistry', 'Drinks']], ['often'], ['none']]"
7,accommodate,This hotel can accommodate 250 guests .,3,0,"[[['Buildings', 'Holidays']], [['Holidays', 'TV, radio and news']], ['none'], ['none']]"
8,accommodate,The scientists had to accommodate the new results with the existing theories .,4,1,"[[['Scientific research', 'Jobs']], [['Change, cause and effect', 'Sports: ball and racket sports', 'Politics', 'Sports: ball and racket sports', 'Education', 'Scientific research', 'Success', 'Business'], ['Scientific research', 'Opinion and argument']], ['none'], ['none']]"
9,acknowledge,The program committee acknowledged the submission of the authors of the paper .,3,0,"[[['Computers'], ['Working life', 'People in society']], [['Discussion and agreement', 'Permission and obligation'], ['Literature and writing'], ['Literature and writing']], ['none'], ['none']]"
10,acknowledge,He never acknowledges his colleagues when they run into him in the hallway .,2,0,"[['people'], [['Working life']], ['never'], ['none']]"
