0,immigrate,"[['people'], ['Family and relationships', 'Life stages', 'Family and relationships', 'Family and relationships', 'Animals'], ['People in society', 'Business', 'Music'], ['Jobs', 'Working life', 'Personal qualities'], ['Working life'], ['Education', 'Education'], ['War and conflict', 'Social issues']]","[['Geography', 'Music'], ['Geography'], ['Money'], ['Education'], ['Working life']]"
1,relax,"[['people'], 'Person', ['Healthcare'], ['Education', 'Education'], ['Holidays'], ['Working life'], ['Life stages', 'Family and relationships'], ['Family and relationships', 'Phones, email and the internet', 'Social issues'], ['Sports: other sports', 'Sports: other sports', 'Health and Fitness'], ['Body']]","[['Body', 'Body', 'Crime and punishment', 'Transport by car or lorry', 'Appearance', 'Clothes and Fashion'], ['Opinion and argument', 'Feelings', 'Preferences and decisions', 'Opinion and argument', 'Opinion and argument', 'Doubt, guessing and certainty', 'Opinion and argument', 'Success', 'Opinion and argument'], ['Social issues', 'Film and theatre', 'Literature and writing'], ['Body'], ['Body', 'Biology', 'Feelings', 'Personal qualities', 'Feelings', 'Feelings'], ['Weather', 'Space'], ['The environment', 'Computers'], ['Education', 'Maths and measurement', 'Success', 'Suggestions and advice', 'Opinion and argument', 'Healthcare', 'The environment'], ['Success']]"
2,glow,"[['Language'], ['Success', 'Difficulty and failure', 'Preferences and decisions', 'Feelings', 'Success', 'Danger', 'Danger', 'Suggestions and advice'], ['Weather', 'Success'], ['Space', 'Colours and Shapes', 'Holidays', 'TV, radio and news', 'Film and theatre', 'Success'], ['Physics and chemistry', 'Houses and homes', 'Crime and punishment', 'Transport by car or lorry'], ['Holidays'], ['Insects, worms, etc.'], ['Physics and chemistry'], ['TV, radio and news', 'Computers', 'Healthcare', 'Jobs', 'Education', 'Animals'], 'Phosphorescent']","[['Colours and Shapes', 'People in society', 'Transport by water', 'People in society'], ['Feelings', 'Health and Fitness'], ['Physics and chemistry', 'Houses and homes', 'Crime and punishment', 'Transport by car or lorry'], 'Ember', 'Glow-in-the dark', 'Serene', ['Colours and Shapes', 'Success', 'Difficulty and failure'], ['Physics and chemistry'], 'Luminosity', ['Appearance']]"
3,reform,"[['Politics', 'Politics'], ['People in society'], ['Opinion and argument'], ['people'], ['Buildings', 'Education', 'Education', 'Education', 'Art', 'Fish and shellfish'], ['Games and toys', 'Sports: ball and racket sports', 'Farming'], ['Politics', 'Jobs'], ['Education'], ['Working life', 'People in society'], ['Law and justice']]","[['Politics'], ['Computers'], ['Law and justice'], ['Music', 'Healthcare', 'Jobs'], ['Permission and obligation', 'Law and justice', 'Politics', 'Permission and obligation', 'Law and justice', 'Politics', 'Education', 'Law and justice', 'Scientific research', 'Permission and obligation', 'Opinion and argument', 'Law and justice', 'Success', 'Permission and obligation'], ['Permission and obligation', 'Law and justice', 'Permission and obligation', 'Money', 'Law and justice'], ['Business', 'War and conflict'], ['Education'], ['Scientific research'], ['Music']]"
4,computerize,"[['Opinion and argument'], ['People in society'], ['Working life', 'Business', 'Shopping', 'Business'], ['Politics', 'Politics'], ['Education'], ['people'], ['Jobs', 'Engineering', 'Jobs', 'Engineering', 'Transport by water', 'Transport by air', 'Jobs', 'Engineering'], ['Jobs', 'Engineering'], 'IT', ['Games and toys', 'Sports: ball and racket sports', 'Farming']]","[['Computers'], ['Law and justice'], 'Workflow', ['Success', 'Sports: other sports', 'Law and justice', 'Crime and punishment', 'Music'], ['Computers'], ['Healthcare', 'Business', 'Business', 'Computers'], ['Working life', 'Education'], 'Datum', ['Law and justice', 'Computers'], ['Computers']]"
5,bolt,"[['people'], 'Person', ['Working life'], ['Transport by car or lorry', 'Transport by bus and train'], ['Houses and homes'], ['Transport by car or lorry', 'Jobs', 'Physics and chemistry'], ['Jobs', 'Engineering'], ['Sports: other sports', 'Plants and trees'], ['Jobs'], 'Watchmaker']","[['Houses and homes', 'Health problems', 'Business', 'Success', 'Success'], ['Houses and homes', 'Buildings', 'Shopping', 'Computers'], ['Birds', 'Fish and shellfish', 'Insects, worms, etc.', 'Success'], ['Transport by car or lorry', 'Opinion and argument', 'Opinion and argument'], ['Clothes and Fashion'], ['Food', 'Engineering'], ['Engineering', 'Weather'], ['Transport by water', 'TV, radio and news'], 'Latch', ['Engineering', 'Engineering']]"
6,dull,"[['people'], 'Person', ['Working life'], ['Cooking and eating', 'Jobs'], ['Art', 'Jobs', 'Music'], ['Jobs'], 'Carpenter', ['Jobs', 'Art'], ['Jobs', 'Engineering'], ['Jobs', 'Gardens']]","[['Transport by air', 'Engineering', 'Plants and trees'], ['Cooking and eating', 'Healthcare'], 'Tool', ['Feelings', 'Danger', 'Difficulty and failure'], ['Houses and homes', 'Transport by car or lorry', 'Sports: ball and racket sports', 'Danger'], ['Colours and Shapes', 'Transport by car or lorry'], ['Colours and Shapes', 'People in society', 'Transport by water', 'People in society'], ['Space'], ['Houses and homes', 'Art'], 'Glos']"
7,explode,"[['War and conflict', 'Money', 'Difficulty and failure', 'Sports: ball and racket sports', 'Success'], ['Religion and festivals'], ['Scientific research', 'Jobs'], ['Jobs', 'Engineering', 'Jobs', 'Engineering', 'Transport by water', 'Transport by air', 'Jobs', 'Engineering'], 'Demolition', ['Healthcare', 'Jobs', 'Shopping', 'Healthcare', 'Physics and chemistry'], 'Pyrotechnician', ['Space', 'Transport by air', 'War and conflict'], ['Jobs'], ['Engineering']]","[['Physics and chemistry', 'Clothes and Fashion'], ['Religion and festivals'], ['Physics and chemistry'], 'Ga', ['Buildings', 'Buildings'], ['Games and toys', 'Transport by air', 'Difficulty and failure'], ['Transport by car or lorry'], 'Firecracker', ['Religion and festivals'], 'Experiment']"
8,color,"[['Art', 'Jobs', 'Music'], ['Jobs', 'Art'], ['Clothes and Fashion', 'Jobs'], ['Literature and writing', 'Jobs'], ['Life stages', 'Life stages'], 'Crafter', ['Jobs', 'Jobs'], ['Film and theatre', 'Appearance', 'Education'], ['Appearance', 'Jobs'], ['Computers']]","[['Art'], ['Literature and writing'], ['Buildings', 'Houses and homes', 'Buildings', 'Biology', 'Difficulty and failure', 'Difficulty and failure', 'Business', 'Difficulty and failure'], ['Physics and chemistry', 'Clothes and Fashion', 'Shopping', 'Buildings'], ['Body', 'Appearance', 'Danger', 'Opinion and argument'], ['Body', 'Difficulty and failure'], ['Literature and writing'], 'Graphic', ['Clothes and Fashion'], ['Film and theatre', 'Appearance', 'Education']]"
9,pump,"[['people'], ['Working life'], ['Jobs', 'Engineering'], ['Engineering', 'Health and Fitness'], ['Jobs'], 'Firefighter', ['Jobs', 'Engineering', 'Jobs', 'Engineering', 'Transport by water', 'Transport by air', 'Jobs', 'Engineering'], ['Jobs', 'Working life', 'Personal qualities'], ['Jobs', 'Gardens'], ['Transport by car or lorry', 'Sports: other sports']]","[['Drinks', 'Transport by water', 'Difficulty and failure', 'Success', 'Difficulty and failure', 'Opinion and argument', 'Discussion and agreement', 'Life stages'], ['Cooking and eating', 'Physics and chemistry'], 'Gasoline', ['The environment', 'Weather', 'Music', 'Health and Fitness', 'Doubt, guessing and certainty', 'Feelings', 'TV, radio and news'], ['The environment'], ['Body', 'Family and relationships', 'Opinion and argument', 'Feelings', 'Feelings', 'Feelings', 'Feelings', 'Feelings'], ['Physics and chemistry'], 'Inflatable', ['Feelings'], 'Fluid']"
