0,absorb,The sales tax is absorbed into the state income tax .,4,1,"[[['Houses and homes', 'Business', 'Shopping'], ['Money', 'Shopping']], [['Politics'], ['Money', 'Business'], ['Money', 'Shopping']], ['none'], ['none']]"
1,absorb,The immigrants were quickly absorbed into society .,4,1,"[[['Social issues']], [['People in society']], ['quickly'], ['none']]"
2,absorb,Her interest in butterflies absorbs her completely .,4,1,"[[['Money', 'Feelings', 'Crime and punishment', 'Success', 'Hobbies'], ['Insects, worms, etc.', 'Sports: water sports']], ['people'], ['completely'], ['none']]"
3,abuse,This boss abuses his workers .,2,0,"[[['Working life', 'Business', 'Jobs', 'People in society']], [['Working life']], ['none'], ['none']]"
4,abuse,Do n't abuse the system .,2,1,"[['none'], [['Computers']], ['none'], ['none']]"
5,abuse,The actress abused the policeman who gave her a parking ticket .,2,0,"[[['Jobs', 'Film and theatre']], [['Jobs', 'Law and justice'], ['Transport by car or lorry'], ['Politics', 'Transport by air', 'Transport by bus and train']], ['none'], ['none']]"
6,abuse,Her husband often abuses alcohol .,3,1,"[[['Family and relationships']], [['Drinks', 'Social issues', 'Physics and chemistry']], ['often'], ['none']]"
7,accommodate,This hotel can accommodate 250 guests .,3,0,"[[['Holidays', 'Buildings']], [['TV, radio and news', 'Holidays']], ['none'], ['none']]"
8,accommodate,The scientists had to accommodate the new results with the existing theories .,4,1,"[[['Scientific research', 'Jobs']], [['Politics', 'Sports: ball and racket sports', 'Success', 'Change, cause and effect', 'Scientific research', 'Business', 'Education'], ['Scientific research', 'Opinion and argument']], ['none'], ['none']]"
9,acknowledge,The program committee acknowledged the submission of the authors of the paper .,3,0,"[[['Computers'], ['Working life', 'People in society']], [['Discussion and agreement', 'Permission and obligation'], ['Literature and writing'], ['Literature and writing']], ['none'], ['none']]"
10,acknowledge,He never acknowledges his colleagues when they run into him in the hallway .,2,0,"[['people'], [['Working life']], ['never'], ['none']]"
11,acknowledge,We must acknowledge the kindness she showed towards us .,2,0,"[['people'], [['Personal qualities'], 'towards'], ['none'], ['none']]"
12,acknowledge,acknowledge the deed .,0,0,"[['none'], ['deed'], ['none'], ['none']]"
13,acknowledge,The Crown Prince was acknowledged as the true heir to the throne .,4,0,"[[['Plants and trees', 'Politics', 'Geography', 'History', 'Money', 'Clothes and Fashion', 'Body'], ['People in society']], [['Money', 'Family and relationships']], ['none'], ['none']]"
14,adhere,The residents of this village adhered to Catholicism .,5,1,"[[['Holidays', 'Healthcare'], ['Geography']], [['Religion and festivals']], ['none'], ['none']]"
15,adhere,Will this wallpaper adhere to the wall ?,3,0,"[['Will'], ['to'], ['none'], ['none']]"
16,answer,The steering of my new car answers to the slightest touch .,6,1,"[[['Transport by car or lorry'], ['Transport by car or lorry', 'Transport by bus and train']], ['none'], ['to'], ['none']]"
17,answer,answer the telephone .,0,0,"[['none'], [['Houses and homes', 'Phones, email and the internet']], ['none'], ['none']]"
18,answer,The question concerning the meaning of life can not be answered .,10,0,"[['none'], [['Opinion and argument', 'Doubt, guessing and certainty', 'Permission and obligation'], 'meaning', ['Life stages', 'Crime and punishment', 'Feelings', 'Difficulty and failure', 'Health problems', 'Doubt, guessing and certainty']], ['none'], ['none']]"
19,answer,The defendant answered to all the charges of the prosecution .,2,0,"[[['Law and justice']], [['Money', 'Physics and chemistry', 'Law and justice'], ['Law and justice']], ['none'], ['none']]"
20,ascend,We ascended the mountain .,1,0,"[['people'], [['Geography', 'Success']], ['none'], ['none']]"
21,ascend,Inheritance may not ascend linearly .,3,1,"[[['Family and relationships']], ['none'], ['linearly'], ['none']]"
22,ascend,The path ascended to the top of the hill .,2,0,"[[['Gardens']], ['none'], ['none'], ['to top of hill']]"
23,attack,"Hitler attacked Poland on September 1 , 1939 and started World War II .",1,0,"[['Hitler'], ['Poland'], ['none'], ['on September 1, 1939']]"
24,attack,The editors of the left - leaning paper attacked the new House Speaker .,8,1,"[[['Literature and writing', 'Jobs', 'Film and theatre', 'TV, radio and news'], ['Literature and writing']], [['Buildings', 'Houses and homes', 'Family and relationships', 'Education', 'Film and theatre'], ['TV, radio and news', 'Politics', 'Music']], ['none'], ['none']]"
25,attack,The Serbs attacked the village at night .,2,0,"[['Serbs'], [['Geography']], ['at night'], ['none']]"
26,attack,I attacked the problem as soon as I got out of bed .,1,1,"[['people'], [['Maths and measurement', 'Social issues', 'Opinion and argument', 'Difficulty and failure']], ['as soon as I got out of bed'], ['none']]"
27,attack,The cancer cells are attacking his liver .,4,1,"[[['Health problems', 'Danger'], ['Crime and punishment', 'Biology', 'Body']], [['Body', 'Food']], ['none'], ['none']]"
28,besiege,The Turks besieged Vienna .,2,0,"[['Turks'], ['Vienna'], ['none'], ['none']]"
29,besiege,She was besieged by so many problems that she got discouraged .,2,1,"[['people'], [['Maths and measurement', 'Social issues', 'Opinion and argument', 'Difficulty and failure']], ['none'], ['none']]"
30,besiege,The press photographers besieged the movie star .,3,1,"[[['TV, radio and news'], ['TV, radio and news', 'Clothes and Fashion', 'Jobs']], [['Film and theatre'], ['TV, radio and news', 'Holidays', 'Colours and Shapes', 'Success', 'Space', 'Film and theatre']], ['none'], ['none']]"
31,bind,The Chinese would bind the feet of their women .,3,0,"[['Chinese'], ['feet', ['Opinion and argument', 'People in society', 'Life stages']], ['none'], ['none']]"
32,bind,They bind their books in leather .,1,0,"[['They'], [['History', 'Literature and writing', 'Opinion and argument', 'Business', 'Education', 'Shopping']], ['none'], ['in leather']]"
33,bind,The hydrogen binds the oxygen .,2,1,"[[['Physics and chemistry']], [['Physics and chemistry']], ['none'], ['none']]"
34,blaze,Meteors blazed across the atmosphere .,1,1,"[[['Space']], ['none'], ['across atmosphere'], ['none']]"
35,blaze,The summer sun alone can cause a pine to blaze .,9,0,"[[['Time'], ['Physics and chemistry', 'Space', 'Weather']], [['Plants and trees']], ['none'], ['none']]"
36,blaze,The spaceship blazed out into space .,2,1,"[[['Transport by air', 'Space']], ['none'], ['out'], ['into space']]"
37,blister,Her feet blistered during the long hike .,2,0,"[['feet'], ['none'], ['during long hike'], ['none']]"
38,blister,The Senator blistered the administration in his speech on Friday .,2,1,"[[['Politics']], [['Business', 'Healthcare']], ['none'], ['in his speech on Friday']]"
39,blur,The haze blurs the hills .,2,0,"[[['Weather']], [['Geography']], ['none'], ['none']]"
40,blur,The fog blurs my vision .,2,0,"[[['Weather']], [['Religion and festivals']], ['none'], ['none']]"
41,blur,The distinction between the two theories blurred .,6,1,"[['distinction', ['Scientific research', 'Opinion and argument']], ['none'], ['none'], ['none']]"
42,bolt,The listeners bolted when he discussed his strange ideas .,2,1,"[[['TV, radio and news']], ['none'], ['when he discussed his strange ideas'], ['none']]"
43,bolt,Do n't bolt your food !,2,1,"[['none'], [['Cooking and eating']], ['none'], ['none']]"
44,boost,The tax cut will boost the economy .,4,1,"[[['Money', 'Shopping'], ['Money', 'Music', 'Computers', 'Health problems', 'Film and theatre']], [['Money', 'Politics']], ['none'], ['none']]"
45,boost,Boost the voltage in an electrical circuit .,0,0,"[['none'], [['Engineering'], ['Engineering', 'Sports: other sports', 'Health and Fitness']], ['none'], ['none']]"
46,boost,The singer had to be boosted onto the stage by a special contraption .,5,0,"[[['Music', 'Jobs']], ['none'], ['none'], ['by special contraption']]"
47,bounce,The rubber ball bounced .,3,0,"[[['Personal qualities', 'Games and toys', 'Sports: ball and racket sports', 'Body']], ['none'], ['none'], ['none']]"
48,bounce,The ex - boxer 's job is to bounce people who want to enter this private club .,8,1,"[[['Sports: other sports', 'Animals']], ['people', ['Games and toys', 'Sports: ball and racket sports', 'Buildings']], ['none'], ['none']]"
49,bow,The government bowed to the military pressure .,2,1,"[[['Politics']], ['none'], ['none'], ['to military pressure']]"
50,breathe,He breathed new life into the old house .,1,1,"[['people'], [['Life stages', 'Crime and punishment', 'Feelings', 'Difficulty and failure', 'Health problems', 'Doubt, guessing and certainty']], ['none'], ['none']]"
51,breathe,Our new synthetic fabric breathes and is perfect for summer wear .,4,1,"[[['Physics and chemistry', 'Buildings', 'Shopping', 'Clothes and Fashion']], ['none'], ['none'], ['none']]"
52,brush,Johnson brushed the hairs from his jacket .,1,0,"[['Johnson'], [['Appearance', 'Opinion and argument', 'Body', 'Danger'], ['Literature and writing', 'Clothes and Fashion']], ['none'], ['none']]"
53,brush,He brushed the wall lightly .,1,0,"[['people'], [['Buildings', 'Houses and homes', 'Business', 'Difficulty and failure', 'Biology']], ['lightly'], ['none']]"
54,brush,She brushed the suit before hanging it back into the closet .,1,0,"[['people'], [['Clothes and Fashion', 'Games and toys']], ['none'], ['before hanging it back into closet']]"
55,build,Suspense was building right from the beginning of the opera .,2,1,"[['Suspense'], ['none'], ['right'], ['from beginning of opera']]"
56,build,The government is building new schools in this state .,3,0,"[[['Politics']], [['Art', 'Fish and shellfish', 'Education', 'Buildings']], ['none'], ['in state']]"
57,build,build a modern nation .,0,1,"[['none'], ['nation'], ['none'], ['none']]"
58,build,These architects build in interesting and new styles .,2,0,"[[['Jobs', 'Computers']], [['Literature and writing', 'Clothes and Fashion', 'Art']], ['none'], ['none']]"
59,build,build a defense on nothing but the accused person 's reputation .,0,1,"[['none'], [['Opinion and argument', 'Sports: ball and racket sports', 'War and conflict', 'Law and justice']], ['nothing but'], [""on accused person 's reputation""]]"
60,buy,This sum will buy you a ride on the train .,3,0,"[[['Money', 'Maths and measurement']], [['Transport by bus and train']], ['none'], ['none']]"
61,buy,She wanted to buy his love with her dedication to him and his work .,3,0,"[['people'], [['Feelings', 'Family and relationships', 'Sports: ball and racket sports']], ['wanted'], ['with her dedication to him and his work']]"
62,buy,I ca n't buy this story .,3,1,"[['people'], [['Literature and writing', 'TV, radio and news']], [""can't""], ['none']]"
63,buzz,bees were buzzing around the hive .,2,0,"[[['Insects, worms, etc.']], ['none'], ['around'], ['none']]"
64,buzz,Planes buzzed the crowds in the square .,1,0,"[[['Maths and measurement', 'Transport by air']], ['crowds'], ['in'], ['square']]"
65,buzz,This office is buzzing with activity .,3,1,"[[['Working life', 'Politics', 'Houses and homes', 'Transport by bus and train']], ['none'], ['with activity'], ['none']]"
66,buzz,he buzzed the servant .,1,1,"[['people'], [['Jobs']], ['none'], ['none']]"
67,capture,capture the essence of Spring   .,0,1,"[['none'], ['essence', ['Geography', 'Time']], ['none'], ['none']]"
68,capture,She captured all the men 's hearts .,1,1,"[['people'], ['men', ['Games and toys', 'Personal qualities', 'Feelings', 'Success', 'Opinion and argument', 'Body']], ['none'], ['none']]"
69,capture,This nucleus has captured the slow - moving neutrons .,3,0,"[[['Physics and chemistry', 'Biology']], [['Physics and chemistry']], ['none'], ['none']]"
70,claw,They clawed their way to the top of the mountain .,1,1,"[['They'], ['none'], ['their way'], ['to top of mountain']]"
71,claw,She clawed the doorknob .,1,1,"[['people'], [['Houses and homes']], ['none'], ['none']]"
72,claw,The politician clawed his rival .,2,1,"[[['Politics', 'Jobs']], ['rival'], ['none'], ['none']]"
73,climb,Did you ever climb up the hill behind your house ?,3,0,"[['you'], [['Geography']], ['up'], ['hill behind your house']]"
74,climb,Sales were climbing after prices were lowered .,2,1,"[[['Houses and homes', 'Business', 'Shopping']], ['none'], ['after prices were lowered'], ['none']]"
75,climb,Sales were climbing after prices were lowered .,2,1,"[[['Houses and homes', 'Business', 'Shopping']], ['none'], ['after prices were lowered'], ['none']]"
76,climb,The path climbed all the way to the top of the hill .,2,1,"[[['Gardens']], ['none'], ['all way'], ['to top of hill']]"
77,clog,The leaves clog our drains in the Fall .,2,0,"[['leaves'], ['drains'], ['none'], ['in Fall']]"
78,clog,horses were clogged until they were tamed .,2,1,"[[['Sports: other sports', 'Difficulty and failure', 'Animals']], ['none'], ['until they were tamed'], ['none']]"
79,clog,The market is being clogged by these operations .,4,1,"[[['Business', 'War and conflict', 'Healthcare']], ['none'], ['none'], ['none']]"
80,clog,Fear clogged her mind .,1,1,"[[['Feelings', 'Danger']], [['Feelings', 'Opinion and argument', 'Preferences and decisions', 'Success', 'Doubt, guessing and certainty']], ['none'], ['none']]"
81,cloud,The smoke clouded above the houses .,2,0,"[[['The environment', 'Social issues', 'Difficulty and failure']], ['none'], ['above houses'], ['none']]"
82,cloud,Their faces were clouded with sadness .,3,1,"[['Their'], ['none'], ['none'], ['with sadness']]"
83,cloud,The stroke clouded memories of her youth .,2,1,"[[['Sports: ball and racket sports', 'Sports: water sports', 'Success', 'Transport by water', 'Health problems']], [['Computers'], ['Life stages']], ['none'], ['none']]"
84,cloud,The chemical clouded the liquid to which it was added .,2,1,"[[['Physics and chemistry']], [['Cooking and eating', 'Physics and chemistry']], ['to which it was added'], ['（none）']]"
85,color,His political ideas color his lectures .,3,1,"[[['Suggestions and advice', 'Success', 'Opinion and argument']], [['Education']], ['none'], ['none']]"
86,color,color the walls with paint in warm tones .,0,0,"[['none'], [['Buildings', 'Houses and homes', 'Business', 'Difficulty and failure', 'Biology']], ['with paint'], ['in warm tones']]"
87,commit,commit a random act of kindness .,0,0,"[['none'], [['Film and theatre'], ['Personal qualities']], ['none'], ['none']]"
88,communicate,Please communicate this message to all employees .,1,0,"[['none'], [['Literature and writing', 'Phones, email and the internet'], ['Working life']], ['none'], ['none']]"
89,communicate,He communicated his anxieties to the psychiatrist .,1,0,"[['people'], [['Feelings', 'Mental health']], ['none'], ['none']]"
90,communicate,communicate a disease .,0,1,"[['none'], [['Health problems']], ['none'], ['none']]"
91,communicate,The rooms communicated .,2,1,"[[['Houses and homes', 'Holidays']], ['none'], ['none'], ['none']]"
92,compare,John compared his haircut to his friend 's .,1,0,"[['John'], [['Appearance'], ['Social issues', 'Phones, email and the internet', 'Family and relationships']], ['none'], ['none']]"
93,compare,This car does not compare with our line of Mercedes .,4,0,"[[['Transport by car or lorry', 'Transport by bus and train']], [['Sports: ball and racket sports', 'Colours and Shapes', 'Literature and writing', 'Money', 'Opinion and argument', 'Discussion and agreement', 'Transport by bus and train', 'Phones, email and the internet', 'Business', 'Film and theatre'], 'Mercedes'], ['none'], ['none']]"
94,compare,We can compare the Han dynasty to the Romans .,2,0,"[['people'], ['Han', ['Family and relationships'], 'Romans'], ['none'], ['none']]"
95,compose,Greed and ambition composed his personality .,3,1,"[[['Money', 'Feelings'], ['Success']], ['personality'], ['none'], ['none']]"
96,compose,Beethoven composed nine symphonies .,1,0,"[['Beethoven'], [['Music']], ['none'], ['none']]"
97,computerize,Our office is fully computerized now .,4,0,"[[['Working life', 'Politics', 'Houses and homes', 'Transport by bus and train']], ['none'], ['fully'], ['none']]"
98,computerize,They computerized the car industry .,1,0,"[['They'], [['Transport by car or lorry', 'Transport by bus and train'], ['Working life', 'Business']], ['none'], ['none']]"
99,condense,condense the contents of a book into a summary .,0,1,"[['none'], ['contents', ['History', 'Literature and writing', 'Opinion and argument', 'Business', 'Education', 'Shopping']], ['none'], ['into summary']]"
100,condense,The cold air condensed the steam .,3,0,"[[['Health and Fitness', 'The environment', 'TV, radio and news', 'Weather', 'Feelings', 'Music', 'Doubt, guessing and certainty']], ['steam'], ['none'], ['none']]"
101,condense,All our planets condensed out of the same material .,3,0,"[[['Space']], ['none'], ['none'], ['out of same material']]"
102,condense,Congress condensed the three - year plan into a six - month plan .,1,1,"[[['Politics']], [['Time', 'Education'], ['Business', 'Opinion and argument', 'Buildings'], ['Time']], ['none'], ['none']]"
103,convulse,The comedian convulsed the crowd .,2,1,"[[['Jobs']], ['crowd'], ['none'], ['none']]"
104,convulse,earthquakes convulsed the countryside .,1,1,"[[['The environment']], [['Geography']], ['none'], ['none']]"
105,convulse,The spasm convulses her facial muscles .,2,0,"[[['Health problems']], [['Body']], ['none'], ['none']]"
106,convulse,The muscles in her face convulsed .,5,0,"[[['Body'], ['Appearance', 'Feelings', 'Opinion and argument', 'Difficulty and failure', 'Doubt, guessing and certainty', 'Body', 'Danger']], ['none'], ['none'], ['none']]"
107,crawl,The crocodile was crawling along the riverbed .,3,0,"[[['Animals']], ['none'], ['along'], ['in riverbed']]"
108,crawl,My skin crawled -- I was terrified .,2,1,"[[['Appearance', 'Feelings', 'Food', 'Phones, email and the internet', 'Computers', 'Body']], ['none'], ['none'], ['none']]"
109,crawl,The old cheese was crawling with maggots .,4,1,"[[['Food']], ['none'], ['none'], ['none']]"
110,crawl,European children learn the breast stroke ; they often do n't know how to crawl .,14,0,"[[['Life stages']], ['none'], ['none'], ['none']]"
111,crown,The prince was crowned in Westminster Abbey .,3,0,"[[['People in society']], ['none'], ['none'], ['in Westminster Abbey']]"
112,crown,The speech crowned the meeting .,2,1,"[[['Politics', 'Film and theatre']], [['Working life', 'Sports: other sports', 'Business', 'Religion and festivals']], ['none'], ['none']]"
113,crown,A weather vane crowns the building .,3,1,"[[['TV, radio and news', 'Health problems', 'Weather'], 'vane'], [['Buildings']], ['none'], ['none']]"
114,crush,crush an aluminum can .,0,0,"[['You'], [['Physics and chemistry']], ['none'], ['none']]"
115,crush,The car crushed the toy .,2,0,"[[['Transport by car or lorry', 'Transport by bus and train']], [['Games and toys', 'Shopping']], ['none'], ['none']]"
116,crush,She was crushed by his refusal of her invitation .,2,1,"[['people'], ['refusal', 'invitation'], ['none'], ['none']]"
117,crush,The plastic bottle crushed against the wall .,3,0,"[[['The environment', 'Physics and chemistry'], ['Cooking and eating', 'Personal qualities', 'Life stages']], ['none'], ['against wall'], ['none']]"
118,curl,The cigar smoke curled up at the ceiling .,3,1,"[[['Difficulty and failure', 'Doubt, guessing and certainty'], ['The environment', 'Social issues', 'Difficulty and failure']], ['none'], ['up'], ['at ceiling']]"
119,curl,"Curl my hair , please .",0,0,"[['You'], [['Appearance', 'Opinion and argument', 'Body', 'Danger']], ['none'], ['none']]"
120,dash,He dashed the plate against the wall .,1,0,"[['people'], [['Cooking and eating', 'Space']], ['against wall'], ['none']]"
121,dash,dashed ambitions and hopes .,0,1,"[['none'], [['Success'], ['Feelings', 'Success']], ['none'], ['none']]"
122,dash,blue paint dashed with white .,2,0,"[[['Houses and homes', 'Art']], [['Colours and Shapes', 'People in society']], ['none'], ['none']]"
123,deflate,deflate the air mattress .,0,0,"[['You'], [['Health and Fitness', 'The environment', 'TV, radio and news', 'Weather', 'Feelings', 'Music', 'Doubt, guessing and certainty'], 'mattress'], ['none'], ['none']]"
124,deflate,The bad review of his work deflated his self - confidence .,6,1,"[[['TV, radio and news', 'Literature and writing', 'Opinion and argument', 'Education', 'Film and theatre'], ['Working life', 'Jobs', 'Art']], ['self', ['Personal qualities', 'Doubt, guessing and certainty']], ['none'], ['none']]"
125,deflate,The new measures deflated the economy .,3,1,"[[['Cooking and eating', 'Maths and measurement']], [['Money', 'Politics']], ['none'], ['none']]"
126,deflate,deflate the currency .,0,1,"[['You'], [['Money', 'Holidays', 'Shopping']], ['none'], ['none']]"
127,deflate,The balloons deflated .,2,0,"[[['Games and toys', 'Transport by air', 'Difficulty and failure']], ['none'], ['none'], ['none']]"
128,design,Chanel designed the famous suit .,1,0,"[['Chanel'], [['Clothes and Fashion', 'Games and toys']], ['none'], ['none']]"
129,design,She designed a good excuse for not attending classes that day .,1,1,"[['people'], ['excuse', ['Animals', 'Transport by bus and train', 'Transport by air', 'Education', 'People in society'], ['Cooking and eating', 'Time', 'History', 'Feelings', 'Success', 'Preferences and decisions', 'Difficulty and failure', 'Doubt, guessing and certainty']], ['none'], ['none']]"
130,devour,Fire had devoured our home .,2,1,"[[['Opinion and argument', 'Success', 'Family and relationships', 'War and conflict', 'Danger']], [['Sports: ball and racket sports', 'Buildings', 'Houses and homes', 'Family and relationships', 'Working life']], ['none'], ['none']]"
131,devour,She devoured his novels .,1,1,"[['people'], [['Literature and writing']], ['none'], ['none']]"
132,devour,he devoured three sandwiches .,1,0,"[['people'], [['Food']], ['none'], ['none']]"
133,digest,I can not digest milk products .,3,0,"[['people'], [['Drinks'], ['Appearance', 'Physics and chemistry', 'Maths and measurement', 'Change, cause and effect', 'Business', 'Shopping']], ['not'], ['none']]"
